epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9733,2.01942,2.25749,1.50654,0.69176,0.24729,0.34197,0.1264,2.21731,2.27412,1.8499,0.000657143,0.000657143,0.000657143
2,27.1708,1.9927,1.6494,1.44051,0.544,0.37093,0.40239,0.16776,2.14209,1.8235,1.6323,0.0012976,0.0012976,0.0012976
3,38.9471,2.00386,1.63307,1.46575,0.46837,0.43955,0.42399,0.15953,2.242,2.40322,1.77523,0.00191165,0.00191165,0.00191165
4,50.8812,1.95977,1.6426,1.46666,0.45752,0.43818,0.39961,0.1597,2.23593,1.86355,1.70839,0.0018812,0.0018812,0.0018812
5,62.7568,1.9788,1.57336,1.45277,0.62346,0.46204,0.49047,0.17676,2.22151,1.57987,1.63945,0.0018416,0.0018416,0.0018416
6,73.9514,1.92609,1.52255,1.43471,0.56214,0.43167,0.46157,0.18575,2.17733,1.64353,1.66346,0.001802,0.001802,0.001802
7,85.1404,1.92137,1.50721,1.42323,0.67308,0.46894,0.54807,0.2116,2.15766,1.54299,1.60615,0.0017624,0.0017624,0.0017624
8,97.0184,1.86443,1.47105,1.39701,0.56865,0.47505,0.51728,0.21545,2.1032,1.48254,1.60215,0.0017228,0.0017228,0.0017228
9,108.775,1.88424,1.48892,1.40573,0.62256,0.49675,0.54679,0.2243,2.11271,1.46747,1.61798,0.0016832,0.0016832,0.0016832
10,120.701,1.87463,1.45893,1.38796,0.6507,0.49458,0.53491,0.22026,2.07535,1.48699,1.58404,0.0016436,0.0016436,0.0016436
11,132.8,1.84757,1.41131,1.38288,0.6306,0.5141,0.55579,0.23292,2.0614,1.48797,1.52623,0.001604,0.001604,0.001604
12,144.61,1.85405,1.39223,1.37226,0.69624,0.47289,0.55932,0.22083,2.06945,1.41113,1.53962,0.0015644,0.0015644,0.0015644
13,156.341,1.81391,1.37712,1.36403,0.5983,0.47072,0.51919,0.2011,2.1165,1.46865,1.54874,0.0015248,0.0015248,0.0015248
14,168.134,1.78046,1.37539,1.33621,0.66223,0.49241,0.55434,0.23951,2.0637,1.38752,1.53534,0.0014852,0.0014852,0.0014852
15,180.1,1.79594,1.36929,1.35226,0.69718,0.51939,0.60248,0.26151,2.02179,1.37837,1.49858,0.0014456,0.0014456,0.0014456
16,191.657,1.77937,1.35041,1.35489,0.60781,0.56833,0.59533,0.24053,2.0184,1.36611,1.5393,0.001406,0.001406,0.001406
17,202.726,1.78933,1.35587,1.36121,0.68046,0.52061,0.59465,0.25197,2.03685,1.35056,1.53133,0.0013664,0.0013664,0.0013664
18,213.948,1.767,1.34358,1.32316,0.68579,0.51605,0.56939,0.23038,2.11647,1.36337,1.56627,0.0013268,0.0013268,0.0013268
